MONTH,GEOGRAPHY,DURATION,AGE GROUP,Both sexes,Male,Female
Mar2001,"Total, Ontario regions",Total unemployed,"Total, 15 years and over",398.0,229.0,169.0
Mar2001,"Total, Ontario regions",Total unemployed, 15-64 years,395.8,228.0,167.9
Mar2001,"Total, Ontario regions",Total unemployed,  15-19,67.5,39.3,28.1
Mar2001,"Total, Ontario regions",Total unemployed,  20-24,53.9,36.2,17.7
Mar2001,"Total, Ontario regions",Total unemployed,  25-44,184.4,101.7,82.7
Mar2001,"Total, Ontario regions",Total unemployed,  45-54,62.6,35.5,27.1
Mar2001,"Total, Ontario regions",Total unemployed,  55-64,27.5,15.2,12.2
Mar2001,"Total, Ontario regions",Total unemployed,  65 years and over,2.2,0.0,0.0
Mar2001,"Total, Ontario regions",   1 - 4 weeks,"Total, 15 years and over",156.0,85.8,70.2
Mar2001,"Total, Ontario regions",   1 - 4 weeks, 15-64 years,155.0,85.4,69.6
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  15-19,34.9,19.7,15.2
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  20-24,27.2,17.2,10.0
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  25-44,67.2,35.0,32.2
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  45-54,16.9,8.4,8.5
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  55-64,8.8,5.0,3.8
Mar2001,"Total, Ontario regions",   1 - 4 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   5 - 13 weeks,"Total, 15 years and over",125.1,76.1,49.0
Mar2001,"Total, Ontario regions",   5 - 13 weeks, 15-64 years,124.8,76.1,48.8
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  15-19,19.4,11.9,7.5
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  20-24,16.8,12.7,4.1
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  25-44,60.3,34.1,26.2
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  45-54,20.6,12.8,7.8
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  55-64,7.8,4.6,3.2
Mar2001,"Total, Ontario regions",   5 - 13 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   14 - 25 weeks,"Total, 15 years and over",50.7,30.9,19.8
Mar2001,"Total, Ontario regions",   14 - 25 weeks, 15-64 years,50.3,30.7,19.6
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  15-19,6.4,4.6,1.8
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  20-24,4.4,2.8,1.6
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  25-44,25.4,14.4,11.0
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  45-54,10.4,6.4,4.1
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  55-64,3.7,2.6,0.0
Mar2001,"Total, Ontario regions",   14 - 25 weeks,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,"Total, 15 years and over",3.1,0.0,1.8
Mar2001,"Total, Ontario regions",   26 weeks , 15-64 years,3.0,0.0,1.8
Mar2001,"Total, Ontario regions",   26 weeks ,  15-19,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,  20-24,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,  25-44,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,  45-54,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,  55-64,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   26 weeks ,  65 years and over,0.0,0.0,0.0
Mar2001,"Total, Ontario regions",   27 weeks or more,"Total, 15 years and over",49.2,27.3,21.9
Mar2001,"Total, Ontario regions",   27 weeks or more, 15-64 years,48.8,27.0,21.8
Mar2001,"Total, Ontario regions",   27 weeks or more,  15-19,4.2,2.0,2.2
